Lecture,Age,Major,Zip Code,Latitude,Longitude,Pizza topping,Pet preference,Runner,Sleep habit,Procrastinator
LEC001,22,Engineering: Biomedical,53703,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC006,,Undecided,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC004,18,Engineering: Industrial,53715,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC005,,Undecided,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC002,,Undecided,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC004,18,Engineering: Other|Engineering: Computer,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC003,,Undecided,53706,43.073051,-89.40123,none (just cheese),neither,No,no preference,Maybe
LEC003,18,Data Science,53715,43.073051,-89.40123,pineapple,cat,Yes,no preference,Maybe
LEC006,18,Data Science,53706,35.4,119.11,none (just cheese),dog,No,night owl,Yes
LEC006,18,Mathematics/AMEP,53706,44,-93,pepperoni,dog,No,night owl,Yes
LEC002,21,Engineering: Other,53703,24.713552,46.675297,none (just cheese),cat,Yes,night owl,Maybe
LEC003,19,Data Science,53705,24.6806,46.57936,pineapple,cat,No,early bird,No
LEC004,24,Economics,53703,43,-89,pineapple,cat,Yes,early bird,Yes
LEC003,18,Data Science,53706,36.102371,-115.174553,none (just cheese),dog,No,night owl,Yes
LEC006,22,Psychology,53703,31.78,119.95,mushroom,cat,No,night owl,Yes
LEC005,20,Data Science,53705,37.8,112.5,pepperoni,cat,Yes,night owl,Yes
LEC004,24,Science: Biology/Life,53703,46.872131,-113.994019,pepperoni,dog,Yes,early bird,Yes
LEC004,17,Engineering: Mechanical,53706,46.6242,8.0414,pineapple,dog,No,night owl,Yes
LEC004,19,Engineering: Mechanical,53726,43.073051,-89.40123,none (just cheese),dog,Yes,early bird,No
LEC002,19,Engineering: Mechanical,57303,41.878113,-87.629799,pineapple,dog,No,night owl,Yes
LEC001,,Mathematics/AMEP,53706,31.230391,121.473701,basil/spinach,dog,No,no preference,Maybe
LEC002,19,Mathematics/AMEP,53558,40.712776,-74.005974,sausage,dog,Yes,night owl,Yes
LEC001,20,Economics (Mathematical Emphasis),53703,48.86,2.3522,pepperoni,dog,No,early bird,Yes
LEC001,19,Engineering: Mechanical,53703,24.7,46.7,mushroom,dog,Yes,early bird,Maybe
LEC005,18,Computer Science,53703,37.338207,-121.88633,green pepper,dog,Yes,night owl,Yes
LEC003,19,Engineering: Mechanical,53558,43.073051,-89.40123,pepperoni,dog,No,night owl,Yes
LEC005,20,Engineering: Mechanical,53715,38.9072,-77.0369,Other,cat,No,night owl,Yes
LEC003,20,Data Science,53703,43.073051,-89.40123,pepperoni,dog,No,night owl,Yes
LEC002,21,Science: Other|Political Science,53703,31.768318,35.213711,pepperoni,dog,No,no preference,Maybe
LEC003,19,Mathematics/AMEP,53715,19.075983,72.877655,basil/spinach,cat,No,night owl,Maybe
LEC001,23,Computer Science,53711,43.073929,-89.385239,sausage,dog,No,night owl,Yes
LEC006,21,Business: Other,53715,25.761681,-80.191788,pepperoni,dog,No,night owl,Yes
LEC003,19,Business: Other|Real Estate,53715,117,33,pepperoni,dog,Yes,night owl,No
LEC004,19,Computer Science,53726,47.037872,-122.900696,tater tots,dog,No,night owl,Yes
LEC004,24,Economics,53703,23.12911,113.264381,pepperoni,cat,Yes,early bird,Maybe
LEC005,19,Data Science,53703,64.49796,165.40998,sausage,dog,No,night owl,Yes
LEC003,19,Data Science,53705,25,47,mushroom,cat,No,early bird,Maybe
LEC005,20,Engineering: Other|Engineering Physics: Scientific Computing,53715,43.073051,-89.4,none (just cheese),dog,No,night owl,Yes
LEC005,20,Computer Science,53703,48.856613,2.352222,pepperoni,dog,No,night owl,Yes
LEC002,19,Business: Finance,53726,43.04156,87.91006,pepperoni,dog,No,night owl,Yes
LEC002,21,Data Science,53713,29.868336,121.543991,mushroom,dog,No,night owl,No
LEC004,19,Computer Science,53715,40.712776,-74.005974,pepperoni,dog,No,night owl,Maybe
LEC003,18,Computer Science,53706,5.93876,80.48433,Other,dog,No,night owl,Maybe
LEC005,19,Engineering: Mechanical,53704,38.7,-77,pepperoni,cat,Yes,no preference,No
LEC004,18,Engineering: Mechanical,53726,41.878113,-87.629799,pepperoni,dog,No,night owl,Maybe
LEC005,19,Engineering: Other,53703,36.169941,-115.139832,pepperoni,dog,No,night owl,Maybe
LEC005,19,Engineering: Mechanical,53703,43.078104,-89.431698,pepperoni,dog,Yes,night owl,Yes
LEC006,18,Engineering: Biomedical,53051,33.6846,117.8265,pepperoni,dog,Yes,night owl,Yes
LEC001,22,Engineering: Mechanical,53719,43.073051,-89.40123,none (just cheese),cat,Yes,night owl,Yes
LEC001,18,Computer Science,53706,26.2992,87.2625,mushroom,dog,Yes,night owl,No
LEC001,24,Business: Information Systems,53703,43.073051,-89.40123,macaroni/pasta,cat,No,night owl,No
LEC006,19,Engineering: Mechanical,53703,43.04049,-87.91732,Other,dog,No,night owl,Yes
LEC001,,Computer Science,53715,34.052235,-118.243683,green pepper,dog,No,night owl,Yes
LEC002,20,Statistics,53703,40.7128,74.006,Other,dog,No,night owl,Maybe
LEC005,23,Computer Science,53703,37.5,126.97,pepperoni,dog,No,night owl,No
LEC002,21,Statistics,53703,52.370216,4.895168,pepperoni,dog,Yes,early bird,Maybe
LEC002,18,Undecided,53706,38.56247,-121.70411,pepperoni,dog,Yes,night owl,Yes
LEC006,18,Statistics,53706,40.712776,40.712776,pepperoni,dog,No,night owl,Yes
LEC003,21,Economics,53715,43.073051,-89.40123,none (just cheese),dog,No,night owl,Yes
LEC003,19,Engineering: Mechanical,53715,45,-93,sausage,dog,No,night owl,No
LEC005,21,Business: Finance,53717,40.6461,-111.498,sausage,dog,No,night owl,Yes
LEC001,26,Engineering: Mechanical,53703,41.902782,12.496365,pepperoni,dog,No,night owl,Yes
LEC001,25,Economics,53703,40.712776,-74.005974,pepperoni,dog,No,night owl,Yes
LEC003,18,Mathematics/AMEP,53706,31.230391,121.473701,mushroom,dog,Yes,early bird,No
LEC001,19,Computer Science,53706,48.855709,2.29889,pepperoni,cat,Yes,night owl,Yes
LEC005,17,Science: Biology/Life,53706,-18.766947,46.869106,basil/spinach,dog,Yes,early bird,Maybe
LEC003,19,Business: Information Systems,53711,38.893452,-77.014709,pepperoni,dog,No,early bird,Yes
LEC001,21,Computer Science,53715,16.306652,80.436539,Other,dog,No,night owl,Yes
LEC006,19,Data Science,53703,35.689487,139.691711,sausage,neither,Yes,no preference,Maybe
LEC004,18,Engineering: Industrial,53706,17.385044,78.486671,mushroom,dog,No,early bird,Yes
LEC004,19,Computer Science,53715,37.774929,-122.419418,pepperoni,dog,No,night owl,Maybe
LEC004,19,Data Science,53703,26.2644,20.3052,pepperoni,dog,No,night owl,Yes
LEC005,18,Data Science,53706,40.712776,-74.005974,pepperoni,dog,Yes,no preference,Yes
LEC002,18,Data Science,53706,36,117,Other,dog,No,early bird,Maybe
LEC005,19,Data Science,50703,42.360081,-71.058884,sausage,cat,No,night owl,No
LEC006,19,Computer Science,53711,36.569666,112.218744,pineapple,neither,Yes,early bird,Maybe
LEC005,18,Computer Science,53706,37.54443,-121.95269,pepperoni,dog,No,night owl,Maybe
LEC003,20,Mathematics/AMEP,53715,32.0853,34.781769,mushroom,dog,No,no preference,Yes
LEC003,19,Data Science,53715,42.701847,-84.48217,tater tots,dog,No,night owl,Yes
LEC003,18,Mathematics/AMEP,53706,40.179188,44.499104,Other,dog,Yes,no preference,Yes
LEC002,,Computer Science,53711,2.81375,101.504272,sausage,dog,Yes,no preference,Maybe
LEC001,18,Engineering: Industrial,53715,30.733315,76.779419,green pepper,cat,No,no preference,Yes
LEC003,21,Data Science,53590,7.9519,98.3381,Other,dog,Yes,early bird,Yes
LEC004,19,Data Science,53715,35.69,139.69,mushroom,dog,No,no preference,Maybe
LEC002,19,Data Science,53704,26.473308,50.048218,Other,cat,Yes,night owl,Yes
LEC002,22,Economics,53703,34.052235,-118.243683,pineapple,dog,No,night owl,Yes
LEC006,18,Data Science,53706,19.075983,72.877655,mushroom,dog,Yes,night owl,Yes
LEC003,,Business: Actuarial,53705,39.6336,118.16,basil/spinach,dog,Yes,early bird,Yes
LEC003,18,Data Science,53706,52.370216,4.895168,mushroom,cat,Yes,no preference,No
LEC003,18,Engineering: Mechanical,53706,52.368944,4.891663,pepperoni,cat,No,night owl,No
LEC002,18,Science: Physics,53703,32,118,sausage,neither,No,night owl,No
LEC005,18,Data Science,53706,17.384716,78.409424,mushroom,dog,Yes,night owl,Maybe
LEC003,19,Data Science,53715,3.1569,101.7123,mushroom,cat,No,early bird,No
LEC005,18,Computer Science,53706,43.769562,11.255814,Other,neither,No,night owl,Yes
LEC006,18,Business: Actuarial,53706,48.856613,2.352222,mushroom,cat,No,no preference,Yes
LEC004,20,Business: Actuarial,53711,40.7128,74.006,pepperoni,dog,Yes,early bird,No
LEC005,20,Science: Biology/Life,53703,44.67082,-93.24432,mushroom,dog,No,no preference,Maybe
LEC004,18,Mathematics/AMEP,53706,46.786671,-92.100487,pepperoni,cat,No,early bird,Yes
LEC005,20,Economics,53703,48.856613,2.352222,pepperoni,neither,No,night owl,Maybe
LEC006,18,Business: Finance,53706,40.409264,49.867092,Other,neither,No,early bird,No
LEC004,21,Computer Science,53715,27.993828,120.699364,green pepper,dog,Yes,no preference,No
LEC002,,Computer Science,53706,43.073051,-89.40123,Other,neither,Yes,no preference,Maybe
LEC002,20,Engineering: Mechanical,53706,35.6762,139.6503,sausage,cat,Yes,night owl,Yes
LEC001,20,Economics (Mathematical Emphasis),53703,43.073929,-89.385239,macaroni/pasta,cat,No,night owl,No
LEC002,21,Business: Information Systems,53713,43.03638,-89.40292,pineapple,neither,Yes,night owl,Yes
LEC004,18,Data Science,53706,45.31625,-92.59181,pepperoni,dog,No,night owl,Yes
LEC001,21,Business: Finance,53711,43.073929,-89.385239,pepperoni,dog,No,no preference,Maybe
LEC005,19,Engineering: Mechanical,53715,35.689487,139.691711,pepperoni,dog,No,night owl,Yes
LEC003,18,Computer Science,53706,51.500153,-0.1262362,pepperoni,dog,No,night owl,Yes
LEC002,22,Science: Biology/Life,53711,43.073051,-89.40123,mushroom,cat,No,no preference,No
LEC004,18,Data Science,53706,42.360081,-71.058884,green pepper,dog,No,night owl,Yes
LEC005,19,Engineering: Mechanical,53703,32.8328,117.2713,sausage,neither,Yes,night owl,Yes
LEC003,20,Engineering: Mechanical,53715,44.834,-87.376,none (just cheese),dog,Yes,night owl,No
LEC006,21,Economics,53703,41.902782,12.496365,none (just cheese),dog,No,no preference,Yes
LEC003,25,Data Science,53703,34.693737,135.502167,pineapple,dog,No,early bird,Maybe
LEC003,17,Computer Science,53703,19.075983,72.877655,Other,neither,Yes,no preference,No
LEC002,19,Psychology,53715,30.5928,114.3052,sausage,cat,No,night owl,Yes
LEC001,19,Computer Science,53703,51.507351,-0.127758,sausage,cat,Yes,no preference,Yes
LEC006,17,Engineering: Industrial,53706,55.953251,-3.188267,Other,dog,No,night owl,Yes
LEC005,,Computer Science,53703,43.073051,-89.40123,pineapple,dog,Yes,night owl,No
LEC002,21,Engineering: Mechanical,53705,37.566536,126.977966,mushroom,cat,Yes,no preference,Maybe
LEC002,18,Undecided,53715,48.775845,9.182932,Other,dog,No,night owl,Yes
LEC004,19,Data Science,53703,43,-89,sausage,cat,No,early bird,Maybe
LEC001,21,Science: Biology/Life,53703,36,117,macaroni/pasta,dog,No,night owl,Maybe
LEC002,19,Business: Information Systems,53703,42.360081,-71.058884,pepperoni,dog,No,no preference,Yes
LEC005,19,Computer Science,53706,-8.340539,115.091949,pineapple,dog,Yes,night owl,Maybe
LEC003,20,Business: Information Systems,53726,43.073051,-89.40123,sausage,dog,Yes,night owl,No
LEC003,,Science: Other,53715,39.904202,116.407394,mushroom,cat,No,night owl,Maybe
LEC004,20,Engineering: Biomedical,53715,43.0707,12.6196,tater tots,dog,No,night owl,Maybe
LEC004,19,Engineering: Biomedical,53715,41.878113,-87.629799,mushroom,dog,Yes,night owl,Yes
LEC002,21,Business: Other|Accounting,53703,41.8781,87.6298,pepperoni,cat,No,night owl,No
LEC002,17,Undecided,53706,33.742185,-84.386124,Other,dog,No,no preference,Yes
LEC006,18,Data Science,53558,40.73061,-73.935242,pepperoni,dog,Yes,night owl,No
LEC003,25,Data Science,53705,43.073051,-89.385239,sausage,cat,No,night owl,Maybe
LEC002,18,Data Science,53706,37.34163,-122.05411,sausage,dog,No,night owl,Yes
LEC006,18,Science: Biology/Life,53706,19.21833,72.978088,green pepper,neither,No,no preference,Maybe
LEC002,,Business: Other|business analytics,53703,31.230391,121.473701,none (just cheese),cat,Yes,night owl,Maybe
LEC003,,Data Science,53706,35.719312,139.784546,none (just cheese),neither,Yes,night owl,Yes
LEC002,19,Engineering: Mechanical,53726,47.141041,9.52145,mushroom,dog,No,night owl,Yes
LEC002,,Computer Science,53715,41.8781,87.6298,pepperoni,dog,No,no preference,Maybe
LEC002,26,Science: Other|animal sciences,53705,25.204849,55.270782,pepperoni,dog,No,no preference,Maybe
LEC003,21,Mathematics,53704,61.218056,-149.900284,green pepper,cat,Yes,early bird,Maybe
LEC003,22,Engineering: Other,53703,49.28273,-123.120735,macaroni/pasta,cat,No,early bird,Maybe
LEC001,18,Engineering: Other,53706,41.902782,12.496365,pepperoni,dog,No,night owl,Yes
LEC003,20,Engineering: Mechanical,53726,39.81059,-74.71795,basil/spinach,dog,No,early bird,Yes
LEC003,21,Health Promotion and Health Equity,53711,37.2982,113.0263,pepperoni,dog,No,early bird,No
LEC003,20,Engineering: Mechanical,53703,38.722252,-9.139337,mushroom,dog,No,night owl,Yes
LEC003,19,Engineering: Mechanical,53714,43,-89.4,none (just cheese),dog,No,night owl,Yes
LEC002,19,Engineering: Industrial,53703,41.878,-87.63,pepperoni,dog,Yes,night owl,Yes
LEC003,18,Computer Science,53706,43.073051,-89.40123,mushroom,neither,No,night owl,Yes
LEC001,18,Engineering: Industrial,53706,19.655041,-101.169891,pepperoni,dog,Yes,no preference,Maybe
LEC005,20,Engineering: Mechanical,53703,26.147,-81.795,pepperoni,dog,Yes,early bird,Yes
LEC006,18,Business: Other,53706,51.507,-0.128,sausage,dog,No,no preference,No
LEC005,19,Business: Other,53706,43,-89,pepperoni,dog,Yes,no preference,Yes
LEC004,19,Engineering: Mechanical,53705,34.869709,-111.760902,pepperoni,cat,No,no preference,Maybe
LEC005,21,Business: Finance,53703,3.15443,101.715103,pepperoni,cat,No,night owl,Yes
LEC005,18,Engineering: Mechanical,53706,44.655991,-93.242752,none (just cheese),dog,Yes,night owl,Yes
LEC003,18,Art,53706,36.25,138.25,macaroni/pasta,dog,No,night owl,Yes
LEC005,19,Data Science,53715,41.94288,-87.68667,pepperoni,dog,Yes,night owl,Yes
LEC005,18,Data Science,53703,44.2795,73.9799,pepperoni,dog,Yes,night owl,No
LEC002,19,Mathematics/AMEP,53715,37.80718,23.734864,pineapple,cat,No,night owl,Yes
LEC004,18,Computer Science,53706,35.689487,139.691711,pepperoni,cat,No,night owl,Yes
LEC006,18,Engineering: Mechanical,53706,43.0826,-97.16051,pepperoni,dog,No,no preference,Yes
LEC006,18,Engineering: Other,53715,37.441883,-122.143021,mushroom,dog,Yes,night owl,Maybe
LEC006,18,Engineering: Mechanical,53706,44.883,-87.86291,pepperoni,dog,No,early bird,Yes
LEC004,19,Engineering: Mechanical,53706,40.73598,-74.37531,none (just cheese),dog,Yes,early bird,No
LEC001,20,Business: Actuarial,53703,42.28,-83.74,mushroom,dog,No,night owl,Yes
LEC003,17,Engineering: Mechanical,53706,37.98381,23.727539,pineapple,dog,Yes,night owl,No
LEC004,18,Computer Science,53706,40.27385,-74.75972,sausage,dog,Yes,night owl,Yes
LEC002,19,Economics,53703,90.1994,38.627,none (just cheese),dog,No,early bird,Yes
LEC002,21,"Mathematics, Data Science",53703,30.572815,104.066803,sausage,dog,No,night owl,Maybe
LEC002,,Computer Science,53717,36,139,mushroom,dog,Yes,early bird,Yes
LEC006,19,Science: Biology/Life,53715,45.289143,-87.021847,none (just cheese),cat,No,night owl,Maybe
LEC002,21,Mathematics/AMEP,53703,20.878332,-156.682495,pepperoni,cat,No,night owl,Yes
LEC003,22,Mathematics/AMEP,53715,44.481586,-88.005981,pepperoni,neither,No,night owl,Yes
LEC006,18,Data Science,53706,43.073051,-89.40123,pepperoni,dog,No,night owl,Yes
LEC005,18,Computer Science,53706,30.733315,76.779419,none (just cheese),dog,No,night owl,Yes
LEC005,20,Mathematics/AMEP,53703,38.837702,-238.449497,pepperoni,dog,No,night owl,Yes
LEC005,,Computer Science,53593,50.116322,-122.957359,sausage,dog,No,night owl,Yes
LEC005,18,Computer Science,53715,43.059023,-89.296875,pepperoni,cat,No,night owl,Maybe
LEC005,19,Engineering: Industrial,53703,22.2255,-159.4835,pepperoni,cat,Yes,night owl,Yes
LEC005,18,Engineering: Biomedical,53593,43.073051,-89.40123,green pepper,cat,No,night owl,Maybe
LEC005,20,Engineering: Mechanical,53715,41.283211,-70.099228,sausage,dog,No,no preference,Maybe
LEC005,18,Data Science,53715,25.26741,55.292679,basil/spinach,cat,Yes,early bird,Yes
LEC005,19,Business: Other,53726,43.038902,-87.906471,pepperoni,dog,No,night owl,Yes
LEC002,,Undecided,53703,30.5723,104.0665,sausage,dog,No,night owl,Yes
LEC006,18,Engineering: Mechanical,53706,30.2672,97.7431,pepperoni,dog,No,night owl,No
LEC006,20,Data Science,53703,36.731651,-119.785858,Other,dog,Yes,night owl,Yes
LEC005,18,Computer Science,53706,43.038902,-87.906471,pepperoni,dog,No,night owl,Yes
LEC004,,Business: Finance,53703,33.8688,151.2093,green pepper,dog,Yes,night owl,Yes
LEC005,18,Science: Other|Science: Genetics and Genomics,53715,43.073051,-89.40123,mushroom,dog,No,no preference,Yes
LEC003,19,Engineering: Mechanical,53715,44.90767,-93.183594,basil/spinach,dog,No,night owl,Maybe
LEC006,18,Business: Finance,53706,-33.448891,-70.669266,macaroni/pasta,dog,No,night owl,Yes
LEC006,17,Business: Finance,53706,43.296482,5.36978,pineapple,dog,No,night owl,Yes
LEC006,21,Mathematics/AMEP,53703,30.572815,104.066803,green pepper,dog,No,no preference,Maybe
LEC005,20,Engineering: Mechanical,53703,41.99884,-87.68828,Other,dog,No,no preference,No
LEC001,19,Business: Information Systems,53703,39.481655,-106.038353,macaroni/pasta,dog,Yes,night owl,Yes
LEC004,19,Engineering: Mechanical,53703,41.883228,-87.632401,pepperoni,dog,No,no preference,Maybe
LEC004,18,Engineering: Industrial,53706,41.878113,41.878113,pepperoni,dog,No,night owl,No
LEC004,19,Engineering: Mechanical,53703,28.228209,112.938812,none (just cheese),neither,Yes,early bird,Yes
LEC003,18,Data Science,89451,34.42083,-119.698189,green pepper,dog,No,early bird,No
LEC003,19,Computer Science,53703,41.3874,2.1686,pepperoni,cat,No,early bird,No
LEC005,20,Science: Biology/Life,53703,32.05196,118.77803,sausage,neither,No,night owl,Yes
LEC004,19,Engineering: Mechanical,53706,50.075539,14.4378,none (just cheese),neither,No,night owl,Yes
LEC003,20,Statistics (actuarial route),53715,43.134315,-88.220062,sausage,dog,No,early bird,No
LEC004,19,Computer Science,53706,17.385044,78.486671,pepperoni,neither,Yes,night owl,Yes
LEC002,18,Engineering: Mechanical,53706,53707,-88.415382,Other,dog,No,night owl,Yes
LEC004,19,Computer Science,53706,45.440845,12.315515,sausage,dog,No,night owl,Yes
LEC004,18,Computer Science,53706,55.953251,-3.188267,Other,dog,No,night owl,Maybe
LEC004,18,Engineering: Mechanical,53706,33.8902,-118.39848,sausage,dog,Yes,night owl,Yes
LEC001,20,Business: Other|Business: Accounting,53703,31.230391,121.473701,pepperoni,cat,Yes,no preference,No
LEC004,18,Data Science,53706,39.512611,116.677063,pepperoni,dog,No,night owl,Maybe
LEC003,18,Undecided,53706,41.256538,95.934502,Other,dog,No,no preference,Yes
LEC003,18,Data Science,53706,19.075983,72.877655,pepperoni,dog,No,night owl,No
LEC003,22,Economics,53703,40.753685,-73.999161,green pepper,dog,No,night owl,Maybe
LEC003,18,Data Science,53706,51.507351,-0.127758,pepperoni,cat,No,night owl,Yes
LEC003,,Engineering: Mechanical,53706,42.44817,-71.224716,pepperoni,cat,Yes,night owl,Maybe
LEC003,17,Engineering: Other|Computer Engineering,53706,42.36,-71.059,basil/spinach,neither,No,early bird,Maybe
LEC003,21,Business: Actuarial,53706,32.715736,-117.161087,green pepper,dog,Yes,night owl,No
LEC003,,Engineering: Other|Computer engineering,53706,35.689487,139.691711,Other,cat,No,night owl,Yes
LEC003,18,Mathematics/AMEP,53715,41.385063,2.173404,pepperoni,cat,Yes,no preference,Maybe
LEC003,20,Computer Science,53705,30.274084,120.155067,mushroom,cat,No,night owl,Yes
LEC005,,Computer Science,53705,51.507351,-0.127758,basil/spinach,dog,No,night owl,Yes
LEC003,18,Computer Science,53706,45.45676,15.29662,sausage,dog,Yes,early bird,Yes
LEC003,18,Engineering: Industrial,53706,18.92421,-99.221565,green pepper,dog,Yes,night owl,Yes
LEC004,18,Engineering: Other|Material Science Engineering,53703,38.941631,-119.977219,pepperoni,dog,Yes,night owl,Yes
LEC002,21,Economics,53705,25.03841,121.5637,pepperoni,cat,No,night owl,Maybe
LEC005,,Civil engineering - hydropower engineering,53705,34,113,pineapple,neither,No,night owl,Maybe
LEC005,18,Computer Science,53706,40.7,-74.005,pepperoni,cat,No,early bird,No
LEC001,19,Engineering: Mechanical,53706,35.142441,-223.154297,green pepper,neither,Yes,night owl,Yes
LEC006,18,Data Science,53706,43.05891,-88.007462,pepperoni,dog,Yes,night owl,Yes
LEC006,,Engineering: Mechanical,53706,37.566536,126.977966,pepperoni,dog,Yes,night owl,No
LEC005,18,Data Science,53706,36.393154,25.46151,none (just cheese),dog,No,night owl,No
LEC001,,Engineering: Mechanical,53715,19.8968,155.5828,pepperoni,dog,No,night owl,No
LEC002,19,Engineering: Biomedical,53706,48.494904,-113.979034,macaroni/pasta,cat,No,night owl,Yes
LEC005,18,Engineering: Mechanical,53706,41.88998,12.49426,pineapple,dog,Yes,night owl,Yes
LEC003,17,Data Science,53706,-7.257472,112.75209,pineapple,dog,Yes,early bird,Yes
LEC005,19,Economics,53703,40.592331,-111.820152,none (just cheese),dog,Yes,night owl,Maybe
LEC005,19,Data Science,53704,38.722252,-9.139337,pepperoni,dog,No,night owl,Yes
LEC003,,Computer Science,53703,64.963051,-19.020836,pineapple,dog,No,no preference,Maybe
LEC002,20,Economics,53703,43.769562,11.255814,mushroom,dog,No,night owl,Yes
LEC004,20,Business: Actuarial,53715,44.834209,-87.376266,sausage,dog,No,no preference,Yes
LEC005,21,Economics,53703,37.751824,-122.420105,green pepper,cat,No,night owl,Yes
LEC004,22,Economics,53703,56.490669,4.202646,mushroom,dog,No,no preference,Yes
LEC004,18,Engineering: Mechanical,53706,44.9058,-93.28535,pepperoni,cat,Yes,night owl,Maybe
LEC004,19,Data Science,53703,41.878113,-87.629799,sausage,dog,No,night owl,Yes
LEC001,21,Computer Science,53703,43.21518,-87.94241,pepperoni,dog,No,no preference,Maybe
